역명,주소
광화문,서울특별시 종로구 도렴동83
버티고개,서울특별시 중구 신당동432
남위례,경기도 성남시 수정구 복정동57
상록수,경기도 안산시 상록구 일동
신내,서울특별시 은평구 갈현동439
간석,인천광역시 남동구 간석4동
이태원,서울특별시 용산구 이태원동127
과천,경기도 과천시 별양동1
마두,경기도 고양시 일산동구 마두동765-1
상월곡,서울특별시 성북구 석관동349-8
동대문역사문화공원,서울특별시 중구 광희동1가 194
한대앞,경기도 안산시 상록구 이동산17-3
일원,서울특별시 강남구 일원본동214
복정,서울특별시 송파구 장지동600
단대오거리,경기도 성남시 수정구 신흥2동2458
선릉,서울특별시 강남구 삼성2동143-42
화랑대,서울특별시 노원구 공릉2동284-5
왕십리,서울특별시 성동구 행당동246
장지,서울특별시 송파구 장지동217
신중동,경기도 부천시 원미구 길주로 지하314
혜화,서울특별시 종로구 명륜동4가 1
논현,서울특별시 강남구 논현1동280
청량리,서울특별시 동대문구 전농2동620-69
신길,서울특별시 영등포구 신길동42-2
상일동,서울특별시 강동구 상일동148
하계,서울특별시 노원구 하계 1동280
안산,경기도 안산시 단원구 원곡동377-1
산본,경기도 군포시 산본동1231
대곡,경기도 고양시 덕양구 대장동387-9
어린이대공원,서울특별시 광진구 능동256
대치,서울특별시 강남구 대치2동509
석촌,서울특별시 송파구 송파동19
총신대입구,서울특별시 동작구 사당2동9-31
방학,서울특별시 도봉구 방학1동738
동대입구,서울특별시 중구 장충동2가189-2
도곡,서울특별시 강남구 도곡2동467-5
종로5가,서울특별시 종로구 종로5가124-8
보라매,서울특별시 영등포구 신길동508
학동,서울특별시 강남구 논현동208
암사,서울특별시 강동구 암사동501
수락산,서울특별시 노원구 상계1동1132-9
사가정,서울특별시 중랑구 면목3동496
부천시청,경기도 부천시 원미구 길주로 지하202
반포,서울특별시 서초구 잠원동103
강일,서울특별시 강동구 고덕로
신이문,서울특별시 동대문구 이문동
구로디지털단지,서울특별시 구로구 구로3동124
돌곶이,서울특별시 성북구 석관동349-8
구리,경기도 구리시 동구동
성수,서울특별시 성동구 성수2가300-1
동두천,경기도 동두천시 생연2동688
